name,stock,price,description,allergy,notice
다이어트 샐러드A,10,7000,"완제품 샐러드, 다이어트 식품","아몬드가 포함되어 견과류 알러지 주의",""
다이어트 샐러드B,5,9000,"완제품 샐러드, 다이어트 식품, 다이어트 샐러드A에서 아몬드 대신 연어를 추가","",""
다이어트 샐러드C,0,8000,"완제품 샐러드, 다이어트 식품, 다이어트 샐러드A에서 아몬드 대신 닭가슴살을 추가","",""
우유,20,1500,"신선한 우유, 1리터","유당 불내증 주의",""
커피우유,15,2500,"커피와 우유의 조화, 1리터","유당 불내증 주의",""
아몬드 밀크,12,3000,"아몬드로 만든 대체 우유, 1리터","견과류 알러지 주의",""
오트 밀크,10,3200,"귀리로 만든 대체 우유, 1리터","",""
엘리스 콜라,25,1200,"탄산음료., 355ml","",""
엘리스 콜라 제로,30,1300,"제로 칼로리 탄산음료, 355ml, 제로 음료","","당분 함유 없음"
라떼,10,4500,"커피와 우유를 섞은 음료, 500ml","유당 불내증 주의",""
카푸치노,8,5000,"커피와 스팀 밀크, 500ml","유당 불내증 주의",""
녹차 라떼,6,4800,"녹차와 우유를 섞은 음료, 500ml","유당 불내증 주의",""
초코 프로틴바,15,3500,"고단백 초콜릿 바, 50g, 다이어트 식품","견과류 알러지 주의","단백질 보충 간식"
바나나 프로틴쉐이크,10,5500,"바나나 맛 단백질 쉐이크, 350ml, 다이어트 식품","유당 불내증 주의","단백질 보충 음료"
닭가슴살 스낵,20,4000,"고단백 저지방 닭가슴살 스낵, 50g, 다이어트 식품","","다이어트 간식"
매운맛 김부각,30,2500,"매콤한 김부각 스낵, 50g","",""
프로바이오틱 요거트,18,2000,"프로바이오틱스 함유 요거트, 150ml","유당 불내증 주의","장 건강 도움"
크랜베리 아몬드 그래놀라,12,6000,"크랜베리와 아몬드가 들어간 그래놀라, 300g","견과류 알러지 주의","아침 식사 대용"
매콤한 비건 버거,8,7800,"채식주의자를 위한 매콤한 비건 버거, 다이어트 식품","견과류 알러지 주의","비건 제품"
말차 쿠키,15,4000,"말차 맛 쿠키, 150g","글루텐 알러지 주의",""
코코넛 워터,20,3000,"천연 코코넛 워터, 330ml","","수분 보충 음료"
아보카도 샐러드,7,8500,"아보카도와 다양한 채소가 포함된 샐러드, 다이어트 식품","견과류 알러지 주의",""
퀴노아 샐러드,5,9000,"퀴노아와 야채가 가득한 샐러드, 다이어트 식품","",""
코코아 프로틴 쉐이크,12,6000,"코코아 맛 단백질 쉐이크, 350ml, 다이어트 식품","유당 불내증 주의","단백질 보충 음료"
치즈 그래놀라 바,10,4000,"치즈와 견과류가 들어간 그래놀라 바, 다이어트 식품","견과류 알러지 주의",""
소이밀크,15,2800,"대두로 만든 대체 우유, 1리터","대두 알러지 주의",""
저칼로리 치킨 샌드위치,8,7000,"저칼로리 치킨 샌드위치, 다이어트 식품","유당 불내증 주의",""
카카오닙스 스낵,20,3500,"카카오닙스가 들어간 건강 스낵, 다이어트 식품","",""
당근 주스,25,3200,"신선한 당근을 사용한 건강 주스, 500ml","",""
저지방 요거트,12,2000,"저지방 요거트, 150ml","유당 불내증 주의",""
브로콜리 스프,10,5500,"브로콜리와 치즈가 들어간 크림 스프, 다이어트 식품","유당 불내증 주의",""
